Co,Al,W,Ni,Ti,Cr,Ge,Ta,B,Mo,Re,Nb,Mn,Si,V,Fe,Zr,Hf,Ru,Ir,La,Y,Mg,C,prop
86,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949
76,12,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974
66,12,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003
56,12,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1048
54,12,0,30,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161
52,12,0,30,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1237
50,12,0,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1286
50,12,0,30,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166
46,12,0,30,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1169
42,12,0,30,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152
51.2,7.72,2.02,29.3,4.17,0,0,1.16,0,3.33,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1129
47.1,7.03,2.09,30.2,4.22,3.94,0,1.07,0,3.28,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1114
44.9,7.05,1.91,28.8,3.86,8.11,0,1.04,0,3.19,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,1095
41.8,7.12,1.76,28.7,3.49,12.2,0,1.05,0,2.94,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,1075
